# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValueWithParameters.total.get.ms,1783317273889000000,1783317282342000000,0
workspaceModel.replace.project.model.ms,1783317273889000000,1783317282342000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1783317273889000000,1783317282342000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1783317273889000000,1783317282342000000,0
workspaceModel.full.replace.project.model.ms,1783317273889000000,1783317282342000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1783317273889000000,1783317282342000000,3
workspaceModel.loading.from.cache.ms,1783317273889000000,1783317282342000000,25
workspaceModel.cachedValue.clear.ms,1783317273889000000,1783317282342000000,0
workspaceModel.cachedValue.from.cache.ms,1783317273889000000,1783317282342000000,0
workspaceModel.to.snapshot.ms,1783317273889000000,1783317282342000000,0
workspaceModel.updates.ms,1783317273889000000,1783317282342000000,0
workspaceModel.updates.count,1783317273889000000,1783317282342000000,0
workspaceModel.updates.precise.ms,1783317273889000000,1783317282342000000,0
workspaceModel.loading.total.ms,1783317273889000000,1783317282342000000,33
workspaceModel.collect.changes.ms,1783317273889000000,1783317282342000000,0
workspaceModel.initializing.ms,1783317273889000000,1783317282342000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1783317273889000000,1783317282342000000,0
workspaceModel.cachedValue.calculated.ms,1783317273889000000,1783317282342000000,0
DirectByteBufferAllocator.hits,1783317273889000000,1783317282342000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1783317273889000000,1783317282342000000,41943040
FilePageCacheLockFree.totalPagesWritten,1783317273889000000,1783317282342000000,0
FilePageCache.maxRegisteredFiles,1783317273889000000,1783317282342000000,537
StorageLockContext.competingThreads.avg,1783317273889000000,1783317282342000000,0.0
FileChannelInterruptsRetryer.totalRetriedAttempts,1783317273889000000,1783317282342000000,0
FilePageCache.maxCacheSizeInBytes,1783317273889000000,1783317282342000000,202375168
FilePageCacheLockFree.totalBytesRequested,1783317273889000000,1783317282342000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1783317273889000000,1783317282342000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1783317273889000000,1783317282342000000,7780
