# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesWriteMs,1783317220300000000,1783317223354000000,0
FilePageCacheLockFree.totalBytesRequested,1783317220300000000,1783317223354000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1783317220300000000,1783317223354000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1783317220300000000,1783317223354000000,0
StorageLockContext.competingThreads.avg,1783317220300000000,1783317223354000000,1.75
FilePageCacheLockFree.totalPagesRequestsMs,1783317220300000000,1783317223354000000,0
FilePageCacheLockFree.totalPagesHandedOver,1783317220300000000,1783317223354000000,0
DirectByteBufferAllocator.reclaimed,1783317220300000000,1783317223354000000,43
StorageLockContext.competingThreads.max,1783317220300000000,1783317223354000000,7
FilePageCache.pageLoads,1783317220300000000,1783317223354000000,196
FilePageCacheLockFree.totalPagesRequested,1783317220300000000,1783317223354000000,0
FilePageCache.totalPageDisposalsUs,1783317220300000000,1783317223354000000,834
FilePageCache.totalPageLoadsUs,1783317220300000000,1783317223354000000,112746
FilePageCache.maxRegisteredFiles,1783317220300000000,1783317223354000000,537
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1783317220300000000,1783317223354000000,41943040
FilePageCacheLockFree.totalClosedStoragesReclaimed,1783317220300000000,1783317223354000000,0
FilePageCacheLockFree.totalPagesAllocated,1783317220300000000,1783317223354000000,0
DirectByteBufferAllocator.hits,1783317220300000000,1783317223354000000,3
FilePageCacheLockFree.housekeeperTurnsDone,1783317220300000000,1783317223354000000,0
DirectByteBufferAllocator.disposed,1783317220300000000,1783317223354000000,153
FilePageCache.capacityInBytes,1783317220300000000,1783317223354000000,503316478
FilePageCache.pageHits,1783317220300000000,1783317223354000000,0
FilePageCacheLockFree.totalPagesReadMs,1783317220300000000,1783317223354000000,0
FilePageCacheLockFree.totalBytesRead,1783317220300000000,1783317223354000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1783317220300000000,1783317223354000000,0
FilePageCacheLockFree.totalPagesReclaimed,1783317220300000000,1783317223354000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1783317220300000000,1783317223354000000,30236
FilePageCacheLockFree.housekeeperTurnsSkipped,1783317220300000000,1783317223354000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1783317220300000000,1783317223354000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1783317220300000000,1783317223354000000,41943040
MappedFileStorage.totalBytesMapped,1783317220300000000,1783317223354000000,0
FilePageCache.uncachedFileAccess,1783317220300000000,1783317223354000000,110
FilePageCacheLockFree.totalPageAllocationsWaited,1783317220300000000,1783317223354000000,0
MappedFileStorage.totalPagesMapped,1783317220300000000,1783317223354000000,0
FilePageCacheLockFree.totalBytesWritten,1783317220300000000,1783317223354000000,0
FilePageCacheLockFree.nativeBytesInUse,1783317220300000000,1783317223354000000,0
FilePageCacheLockFree.heapBytesInUse,1783317220300000000,1783317223354000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1783317220300000000,1783317223354000000,0
FilePageCache.pageFastCacheHits,1783317220300000000,1783317223354000000,3880
DirectByteBufferAllocator.misses,1783317220300000000,1783317223354000000,193
FilePageCache.maxCacheSizeInBytes,1783317220300000000,1783317223354000000,202375168
StorageLockContext.competingThreads.90P,1783317220300000000,1783317223354000000,7
FilePageCacheLockFree.totalNativeBytesReclaimed,1783317220300000000,1783317223354000000,0
MappedFileStorage.storages,1783317220300000000,1783317223354000000,0
