# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionsCount,1783315238477000000,1783315253880000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1783315238477000000,1783315253880000000,63310
AWTEventQueue.dispatchTimeMaxNs,1783315238477000000,1783315253880000000,10804527103
FlushQueue.queueSize90P,1783315238477000000,1783315253880000000,409
FlushQueue.waitingTimeAvgNs,1783315238477000000,1783315253880000000,1.855043562510569E9
FlushQueue.waitingTimeMaxNs,1783315238477000000,1783315253880000000,9193914367
FlushQueue.executionTimeAvgNs,1783315238477000000,1783315253880000000,86652.04390243902
ReadAction.executionsCount,1783315238477000000,1783315253880000000,50083
AWTEventQueue.dispatchTimeAvgNs,1783315238477000000,1783315253880000000,6523983.161904762
FlushQueue.waitingTime90PNs,1783315238477000000,1783315253880000000,6777995263
WriteAction.executionsCount,1783315238477000000,1783315253880000000,1
NonBlockingReadAction.finalizedExecutionsCount,1783315238477000000,1783315253880000000,15
FlushQueue.queueSizeAvg,1783315238477000000,1783315253880000000,161.81056910569106
AWTEventQueue.dispatchTimeTotalNS,1783315238477000000,1783315253880000000,10984174745
FlushQueue.queueSizeMax,1783315238477000000,1783315253880000000,503
FlushQueue.tasksExecuted,1783315238477000000,1783315253880000000,1230
FlushQueue.executionTime90PNs,1783315238477000000,1783315253880000000,74239
AWTEventQueue.dispatchTime90PNs,1783315238477000000,1783315253880000000,38399
NonBlockingReadAction.failedExecutionTimeUs,1783315238477000000,1783315253880000000,0
AWTEventQueue.eventsDispatched,1783315238477000000,1783315253880000000,1680
FlushQueue.executionTimeMaxNs,1783315238477000000,1783315253880000000,26345471
VFS.fileByIdCache.misses,1783315238477000000,1783315253880000000,0
VFS.invertedFileNameIndex.requests,1783315238477000000,1783315253880000000,0
VFS.fileChildByName,1783315238477000000,1783315253880000000,13
VFS.fileByIdCache.hits,1783315238477000000,1783315253880000000,0
jps.global.initialize.library.bridges.after.loading.ms,1783315238477000000,1783315253880000000,3
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1783315238477000000,1783315253880000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1783315238477000000,1783315253880000000,0
workspaceModel.mutableEntityStorage.instances.count,1783315238477000000,1783315253880000000,3
jps.library.entities.serializer.load.entities.ms,1783315238477000000,1783315253880000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1783315238477000000,1783315253880000000,0
workspaceModel.load.cache.metadata.from.file.ms,1783315238477000000,1783315253880000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1783315238477000000,1783315253880000000,0
jps.load.initial.state.ms,1783315238477000000,1783315253880000000,23
workspaceModel.global.updates.count,1783315238477000000,1783315253880000000,0
jps.save.global.entities.ms,1783315238477000000,1783315253880000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1783315238477000000,1783315253880000000,0
workspaceModel.sync.entities.ms,1783315238477000000,1783315253880000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1783315238477000000,1783315253880000000,0
jps.global.get.library.by.name.ms,1783315238477000000,1783315253880000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1783315238477000000,1783315253880000000,0
workspaceModel.load.cache.from.file.ms,1783315238477000000,1783315253880000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1783315238477000000,1783315253880000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1783315238477000000,1783315253880000000,0
jps.global.get.libraries.ms,1783315238477000000,1783315253880000000,0
workspaceModel.do.save.caches.ms,1783315238477000000,1783315253880000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1783315238477000000,1783315253880000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1783315238477000000,1783315253880000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1783315238477000000,1783315253880000000,0
jps.global.handle.before.change.events.ms,1783315238477000000,1783315253880000000,0
jps.app.storage.content.reader.load.component.ms,1783315238477000000,1783315253880000000,2
jps.global.initialize.library.bridges.ms,1783315238477000000,1783315253880000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1783315238477000000,1783315253880000000,0
workspaceModel.global.apply.state.to.project.ms,1783315238477000000,1783315253880000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1783315238477000000,1783315253880000000,0
workspaceModel.global.updates.ms,1783315238477000000,1783315253880000000,0
workspaceModel.save.cache.to.file.ms,1783315238477000000,1783315253880000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1783315238477000000,1783315253880000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1783315238477000000,1783315253880000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1783315238477000000,1783315253880000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1783315238477000000,1783315253880000000,0
jps.global.get.library.ms,1783315238477000000,1783315253880000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1783315238477000000,1783315253880000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1783315238477000000,1783315253880000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1783315238477000000,1783315253880000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1783315238477000000,1783315253880000000,0
jps.global.handle.changed.events.ms,1783315238477000000,1783315253880000000,0
jps.library.entities.serializer.save.entities.ms,1783315238477000000,1783315253880000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1783315238477000000,1783315253880000000,0
workspaceModel.mutableEntityStorage.entities.ms,1783315238477000000,1783315253880000000,2
FilePageCacheLockFree.housekeeperTurnsDone,1783315238477000000,1783315253880000000,0
FilePageCache.pageHits,1783315238477000000,1783315253880000000,0
FilePageCacheLockFree.totalPagesWritten,1783315238477000000,1783315253880000000,0
DirectByteBufferAllocator.reclaimed,1783315238477000000,1783315253880000000,43
StorageLockContext.competingThreads.90P,1783315238477000000,1783315253880000000,0
DirectByteBufferAllocator.misses,1783315238477000000,1783315253880000000,193
FilePageCache.disposedBuffers,1783315238477000000,1783315253880000000,196
FilePageCacheLockFree.totalBytesRequested,1783315238477000000,1783315253880000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1783315238477000000,1783315253880000000,0
FilePageCacheLockFree.totalPagesAllocated,1783315238477000000,1783315253880000000,0
FilePageCacheLockFree.totalPagesWriteMs,1783315238477000000,1783315253880000000,0
MappedFileStorage.storages,1783315238477000000,1783315253880000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1783315238477000000,1783315253880000000,0
FilePageCache.pageLoads,1783315238477000000,1783315253880000000,196
FilePageCacheLockFree.totalPagesRequested,1783315238477000000,1783315253880000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1783315238477000000,1783315253880000000,0
FilePageCacheLockFree.nativeBytesInUse,1783315238477000000,1783315253880000000,0
